       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11832.50000000 UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF 
  11847.00000000       0.03532481       0.03515606       0.03510172       0.03480818       0.03430725       0.03367335       0.03300975       0.03271606       0.03241083       0.03209892       0.03183749       0.03170719       0.03157524       0.03144345       0.03136399       0.03131396 
  11847.50000000       0.03532484       0.03515611       0.03510176       0.03480823       0.03430728       0.03367338       0.03300978       0.03271607       0.03241084       0.03209893       0.03183750       0.03170719       0.03157524       0.03144345       0.03136399       0.03131396 
  11848.00000000       0.03532138       0.03515347       0.03509991       0.03480747       0.03430754       0.03367458       0.03301184       0.03271839       0.03241353       0.03210197       0.03184082       0.03171070       0.03157894       0.03144733       0.03136799       0.03131804 
  11848.50000000       0.03528564       0.03512591       0.03508049       0.03479916       0.03430989       0.03368672       0.03303266       0.03274213       0.03244102       0.03213307       0.03187491       0.03174668       0.03161679       0.03148714       0.03140910       0.03135999 
  11849.00000000       0.03524991       0.03509835       0.03506107       0.03479086       0.03431224       0.03369885       0.03305348       0.03276587       0.03246852       0.03216418       0.03190900       0.03178265       0.03165465       0.03152695       0.03145021       0.03140192 
  11849.50000000       0.03521418       0.03507079       0.03504165       0.03478255       0.03431459       0.03371097       0.03307430       0.03278960       0.03249601       0.03219528       0.03194309       0.03181862       0.03169250       0.03156676       0.03149132       0.03144386 
  11850.00000000       0.03517845       0.03504323       0.03502223       0.03477424       0.03431693       0.03372310       0.03309512       0.03281334       0.03252350       0.03222638       0.03197718       0.03185460       0.03173036       0.03160657       0.03153243       0.03148580 
  11850.50000000       0.03514271       0.03501566       0.03500281       0.03476594       0.03431928       0.03373523       0.03311594       0.03283707       0.03255099       0.03225748       0.03201127       0.03189057       0.03176821       0.03164638       0.03157353       0.03152774 
  11851.00000000       0.03510698       0.03498811       0.03498339       0.03475763       0.03432162       0.03374735       0.03313676       0.03286080       0.03257848       0.03228858       0.03204536       0.03192655       0.03180607       0.03168619       0.03161464       0.03156968 
  11851.50000000       0.03507124       0.03496054       0.03496397       0.03474932       0.03432397       0.03375947       0.03315757       0.03288454       0.03260597       0.03231968       0.03207945       0.03196252       0.03184392       0.03172600       0.03165575       0.03161162 
  11852.00000000       0.03503550       0.03493298       0.03494455       0.03474101       0.03432631       0.03377160       0.03317838       0.03290827       0.03263346       0.03235077       0.03211354       0.03199849       0.03188177       0.03176581       0.03169686       0.03165356 
  11852.50000000       0.03499977       0.03490542       0.03492513       0.03473270       0.03432865       0.03378372       0.03319919       0.03293201       0.03266094       0.03238187       0.03214762       0.03203446       0.03191963       0.03180562       0.03173797       0.03169550 
  11853.00000000       0.03496403       0.03487786       0.03490570       0.03472438       0.03433099       0.03379584       0.03322000       0.03295574       0.03268843       0.03241296       0.03218171       0.03207044       0.03195748       0.03184543       0.03177908       0.03173744 
  11853.50000000       0.03492830       0.03485029       0.03488628       0.03471607       0.03433333       0.03380796       0.03324081       0.03297947       0.03271592       0.03244406       0.03221580       0.03210641       0.03199533       0.03188524       0.03182018       0.03177938 
