       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11796.50000000       0.05895721       0.05882020       0.05868302       0.05854587       0.05847009       0.05849585       0.05852158       0.05854781       0.05857797       0.05860973       0.05864172       0.05867289       0.05867853       0.05868413       0.05868972       0.05869135 
  11797.00000000       0.05895635       0.05881960       0.05868268       0.05854579       0.05847012       0.05849573       0.05852131       0.05854739       0.05857746       0.05860916       0.05864109       0.05867220       0.05867784       0.05868344       0.05868905       0.05869068 
  11797.50000000       0.05895550       0.05881900       0.05868233       0.05854570       0.05847014       0.05849561       0.05852103       0.05854696       0.05857695       0.05860859       0.05864046       0.05867150       0.05867716       0.05868277       0.05868837       0.05869002 
  11798.00000000       0.05895464       0.05881840       0.05868199       0.05854562       0.05847017       0.05849548       0.05852076       0.05854654       0.05857643       0.05860801       0.05863982       0.05867082       0.05867647       0.05868208       0.05868769       0.05868936 
  11798.50000000       0.05895379       0.05881780       0.05868165       0.05854554       0.05847021       0.05849536       0.05852048       0.05854612       0.05857592       0.05860744       0.05863919       0.05867013       0.05867578       0.05868140       0.05868702       0.05868869 
  11799.00000000       0.05895293       0.05881720       0.05868131       0.05854546       0.05847024       0.05849524       0.05852021       0.05854570       0.05857541       0.05860687       0.05863856       0.05866943       0.05867510       0.05868072       0.05868635       0.05868803 
  11799.50000000       0.05895207       0.05881660       0.05868096       0.05854537       0.05847027       0.05849512       0.05851993       0.05854528       0.05857491       0.05860629       0.05863793       0.05866874       0.05867441       0.05868004       0.05868567       0.05868736 
  11800.00000000       0.05895122       0.05881599       0.05868062       0.05854529       0.05847030       0.05849500       0.05851966       0.05854486       0.05857440       0.05860572       0.05863729       0.05866805       0.05867372       0.05867936       0.05868500       0.05868670 
  11800.50000000       0.05895036       0.05881539       0.05868028       0.05854521       0.05847033       0.05849487       0.05851938       0.05854443       0.05857389       0.05860515       0.05863666       0.05866736       0.05867304       0.05867868       0.05868432       0.05868604 
  11801.00000000       0.05894951       0.05881479       0.05867993       0.05854512       0.05847036       0.05849475       0.05851911       0.05854401       0.05857338       0.05860458       0.05863603       0.05866667       0.05867235       0.05867800       0.05868365       0.05868537 
  11801.50000000       0.05894865       0.05881419       0.05867959       0.05854504       0.05847039       0.05849463       0.05851883       0.05854359       0.05857287       0.05860400       0.05863540       0.05866598       0.05867166       0.05867732       0.05868297       0.05868471 
  11802.00000000       0.05894780       0.05881359       0.05867925       0.05854496       0.05847042       0.05849450       0.05851856       0.05854316       0.05857236       0.05860343       0.05863476       0.05866529       0.05867098       0.05867664       0.05868230       0.05868404 
  11802.50000000       0.05894694       0.05881299       0.05867891       0.05854487       0.05847045       0.05849438       0.05851828       0.05854274       0.05857185       0.05860285       0.05863413       0.05866460       0.05867029       0.05867596       0.05868162       0.05868338 
  11803.00000000       0.05894608       0.05881239       0.05867856       0.05854479       0.05847049       0.05849426       0.05851801       0.05854232       0.05857133       0.05860228       0.05863350       0.05866391       0.05866960       0.05867527       0.05868095       0.05868272 
  11803.50000000       0.05894523       0.05881179       0.05867822       0.05854471       0.05847052       0.05849414       0.05851773       0.05854190       0.05857082       0.05860171       0.05863287       0.05866322       0.05866892       0.05867460       0.05868027       0.05868205 
  11804.00000000       0.05894437       0.05881119       0.05867788       0.05854462       0.05847055       0.05849401       0.05851746       0.05854148       0.05857031       0.05860114       0.05863223       0.05866253       0.05866823       0.05867391       0.05867960       0.05868139 
  11804.50000000       0.05894352       0.05881059       0.05867754       0.05854454       0.05847058       0.05849389       0.05851718       0.05854105       0.05856980       0.05860056       0.05863160       0.05866184       0.05866754       0.05867323       0.05867893       0.05868073 
  11805.00000000       0.05894266       0.05880999       0.05867720       0.05854446       0.05847061       0.05849377       0.05851691       0.05854063       0.05856929       0.05859999       0.05863097       0.05866115       0.05866686       0.05867255       0.05867825       0.05868006 
  11805.50000000       0.05894181       0.05880938       0.05867685       0.05854438       0.05847064       0.05849365       0.05851663       0.05854021       0.05856878       0.05859942       0.05863034       0.05866046       0.05866617       0.05867187       0.05867758       0.05867940 
  11806.00000000       0.05894095       0.05880878       0.05867651       0.05854430       0.05847067       0.05849352       0.05851636       0.05853979       0.05856827       0.05859884       0.05862970       0.05865977       0.05866548       0.05867119       0.05867690       0.05867874 
  11806.50000000       0.05894009       0.05880819       0.05867617       0.05854421       0.05847070       0.05849340       0.05851608       0.05853936       0.05856776       0.05859827       0.05862907       0.05865908       0.05866479       0.05867051       0.05867622       0.05867807 
  11807.00000000       0.05893924       0.05880759       0.05867583       0.05854413       0.05847073       0.05849328       0.05851581       0.05853894       0.05856725       0.05859770       0.05862844       0.05865838       0.05866411       0.05866983       0.05867555       0.05867741 
  11807.50000000       0.05893838       0.05880699       0.05867548       0.05854405       0.05847076       0.05849316       0.05851553       0.05853852       0.05856674       0.05859712       0.05862780       0.05865769       0.05866342       0.05866915       0.05867488       0.05867675 
  11808.00000000       0.05893753       0.05880638       0.05867514       0.05854397       0.05847079       0.05849303       0.05851525       0.05853809       0.05856624       0.05859655       0.05862717       0.05865701       0.05866273       0.05866847       0.05867420       0.05867608 
  11808.50000000       0.05893667       0.05880578       0.05867480       0.05854388       0.05847083       0.05849291       0.05851498       0.05853767       0.05856572       0.05859598       0.05862654       0.05865631       0.05866205       0.05866779       0.05867353       0.05867542 
  11809.00000000       0.05893582       0.05880518       0.05867446       0.05854380       0.05847086       0.05849279       0.05851471       0.05853725       0.05856521       0.05859540       0.05862591       0.05865562       0.05866136       0.05866710       0.05867285       0.05867475 
  11809.50000000       0.05893496       0.05880458       0.05867412       0.05854372       0.05847089       0.05849266       0.05851443       0.05853683       0.05856470       0.05859483       0.05862527       0.05865493       0.05866067       0.05866643       0.05867218       0.05867409 
  11810.00000000       0.05893410       0.05880398       0.05867377       0.05854363       0.05847092       0.05849254       0.05851416       0.05853641       0.05856419       0.05859426       0.05862464       0.05865424       0.05865999       0.05866574       0.05867150       0.05867343 
  11810.50000000       0.05893325       0.05880338       0.05867343       0.05854355       0.05847095       0.05849242       0.05851388       0.05853598       0.05856368       0.05859368       0.05862401       0.05865355       0.05865930       0.05866506       0.05867083       0.05867276 
  11811.00000000       0.05893239       0.05880278       0.05867309       0.05854347       0.05847098       0.05849230       0.05851360       0.05853556       0.05856317       0.05859311       0.05862337       0.05865286       0.05865861       0.05866438       0.05867015       0.05867210 
  11811.50000000       0.05893154       0.05880218       0.05867274       0.05854339       0.05847101       0.05849217       0.05851333       0.05853514       0.05856266       0.05859254       0.05862274       0.05865217       0.05865792       0.05866370       0.05866948       0.05867143 
  11812.00000000       0.05893068       0.05880158       0.05867241       0.05854331       0.05847104       0.05849205       0.05851306       0.05853472       0.05856215       0.05859197       0.05862211       0.05865148       0.05865724       0.05866302       0.05866880       0.05867077 
  11812.50000000       0.05892983       0.05880098       0.05867206       0.05854322       0.05847107       0.05849193       0.05851278       0.05853429       0.05856164       0.05859139       0.05862148       0.05865079       0.05865655       0.05866234       0.05866813       0.05867011 
  11813.00000000       0.05892897       0.05880038       0.05867172       0.05854314       0.05847110       0.05849181       0.05851251       0.05853387       0.05856113       0.05859082       0.05862084       0.05865010       0.05865586       0.05866166       0.05866745       0.05866944 
  11813.50000000       0.05892812       0.05879978       0.05867138       0.05854306       0.05847113       0.05849168       0.05851223       0.05853345       0.05856062       0.05859024       0.05862021       0.05864941       0.05865518       0.05866098       0.05866678       0.05866878 
  11814.00000000       0.05892726       0.05879918       0.05867103       0.05854297       0.05847116       0.05849156       0.05851195       0.05853302       0.05856011       0.05858967       0.05861958       0.05864872       0.05865449       0.05866030       0.05866611       0.05866812 
  11814.50000000       0.05892641       0.05879858       0.05867070       0.05854289       0.05847120       0.05849144       0.05851168       0.05853260       0.05855960       0.05858910       0.05861894       0.05864803       0.05865380       0.05865962       0.05866543       0.05866745 
  11815.00000000       0.05892555       0.05879798       0.05867035       0.05854281       0.05847123       0.05849132       0.05851140       0.05853218       0.05855909       0.05858853       0.05861831       0.05864734       0.05865312       0.05865894       0.05866476       0.05866679 
  11815.50000000       0.05892470       0.05879738       0.05867001       0.05854273       0.05847126       0.05849119       0.05851113       0.05853176       0.05855858       0.05858795       0.05861768       0.05864665       0.05865243       0.05865826       0.05866408       0.05866613 
  11816.00000000       0.05892384       0.05879678       0.05866967       0.05854265       0.05847128       0.05849107       0.05851085       0.05853134       0.05855807       0.05858738       0.05861705       0.05864596       0.05865174       0.05865758       0.05866341       0.05866547 
  11816.50000000       0.05892299       0.05879618       0.05866932       0.05854256       0.05847132       0.05849095       0.05851058       0.05853091       0.05855756       0.05858681       0.05861641       0.05864527       0.05865106       0.05865690       0.05866273       0.05866480 
  11817.00000000       0.05892213       0.05879558       0.05866899       0.05854248       0.05847135       0.05849082       0.05851030       0.05853049       0.05855705       0.05858623       0.05861578       0.05864458       0.05865037       0.05865622       0.05866206       0.05866414 
  11817.50000000       0.05892128       0.05879498       0.05866864       0.05854240       0.05847138       0.05849070       0.05851003       0.05853007       0.05855654       0.05858566       0.05861515       0.05864388       0.05864968       0.05865553       0.05866138       0.05866347 
  11818.00000000       0.05892042       0.05879438       0.05866830       0.05854232       0.05847141       0.05849058       0.05850975       0.05852965       0.05855603       0.05858509       0.05861452       0.05864320       0.05864900       0.05865485       0.05866071       0.05866281 
  11818.50000000       0.05891957       0.05879378       0.05866796       0.05854224       0.05847144       0.05849046       0.05850948       0.05852922       0.05855552       0.05858452       0.05861389       0.05864251       0.05864831       0.05865417       0.05866003       0.05866215 
