       MD              Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace            Trace      
       ft       
  11765.50000000 UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF UNDEF 
  11780.00000000       0.04592555       0.04591855       0.04590811       0.04589703       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589505       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
  11780.50000000       0.04592555       0.04591855       0.04590811       0.04589704       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589504       0.04591315       0.04593140       0.04592832       0.04592033       0.04591241 
  11781.00000000       0.04592555       0.04591856       0.04590811       0.04589704       0.04588597       0.04587623       0.04587392       0.04587162       0.04586934       0.04587698       0.04589504       0.04591315       0.04593140       0.04592832       0.04592033       0.04591242 
  11781.50000000       0.04592555       0.04591856       0.04590811       0.04589704       0.04588597       0.04587624       0.04587392       0.04587162       0.04586934       0.04587698       0.04589504       0.04591314       0.04593139       0.04592832       0.04592033       0.04591242 
  11782.00000000       0.04592497       0.04591801       0.04590758       0.04589654       0.04588550       0.04587579       0.04587344       0.04587111       0.04586880       0.04587636       0.04589431       0.04591229       0.04593041       0.04592735       0.04591938       0.04591151 
  11782.50000000       0.04592438       0.04591744       0.04590705       0.04589603       0.04588503       0.04587533       0.04587296       0.04587059       0.04586825       0.04587574       0.04589356       0.04591141       0.04592941       0.04592635       0.04591843       0.04591058 
  11783.00000000       0.04592378       0.04591688       0.04590652       0.04589553       0.04588455       0.04587487       0.04587247       0.04587008       0.04586770       0.04587511       0.04589281       0.04591054       0.04592841       0.04592536       0.04591747       0.04590966 
  11783.50000000       0.04592320       0.04591632       0.04590598       0.04589503       0.04588407       0.04587441       0.04587198       0.04586956       0.04586716       0.04587449       0.04589206       0.04590967       0.04592741       0.04592437       0.04591651       0.04590873 
  11784.00000000       0.04592260       0.04591576       0.04590545       0.04589452       0.04588360       0.04587395       0.04587149       0.04586904       0.04586661       0.04587387       0.04589131       0.04590879       0.04592641       0.04592337       0.04591555       0.04590781 
  11784.50000000       0.04592201       0.04591520       0.04590492       0.04589401       0.04588312       0.04587350       0.04587100       0.04586852       0.04586606       0.04587324       0.04589056       0.04590792       0.04592542       0.04592238       0.04591459       0.04590688 
  11785.00000000       0.04592143       0.04591464       0.04590438       0.04589351       0.04588264       0.04587304       0.04587052       0.04586801       0.04586552       0.04587262       0.04588981       0.04590705       0.04592442       0.04592139       0.04591363       0.04590596 
  11785.50000000       0.04592083       0.04591408       0.04590385       0.04589300       0.04588217       0.04587258       0.04587003       0.04586749       0.04586497       0.04587200       0.04588906       0.04590617       0.04592342       0.04592039       0.04591268       0.04590503 
  11786.00000000       0.04592025       0.04591351       0.04590332       0.04589250       0.04588169       0.04587212       0.04586954       0.04586697       0.04586442       0.04587137       0.04588832       0.04590530       0.04592242       0.04591940       0.04591172       0.04590410 
  11786.50000000       0.04591965       0.04591295       0.04590278       0.04589199       0.04588121       0.04587166       0.04586905       0.04586645       0.04586387       0.04587075       0.04588757       0.04590442       0.04592142       0.04591841       0.04591076       0.04590318 
